pitcher_name,pitcher_race
Aaron Sanchez,hispanic
Alex Burnett,hispanic
Alex Claudio,hispanic
Alex Sanabia,hispanic
Andy Pettitte,white
Anthony Ranaudo,hispanic
Arquimedes Caminero,black
Carlos Contreras,black
Daniel Corcino,hispanic
Giovanni Soto,hispanic
Guillermo Moscoso,hispanic
Hansel Robles,black
Jair Jurrjens,black
Jamey Carroll,white
Jeremy Hellickson,white
Jesus Sucre,hispanic
Joe Kelly,white
Joe Martinez,white
Jonathan Aro,hispanic
Jose Dominguez,black
Jose Ortega,black
Kendry Flores,black
Lance McCullers,hispanic
Mariano Rivera,black
Michael Feliz,black
Nathan Eovaldi,white
Nefi Ogando,hispanic 
Octavio Dotel,black
Odrisamer Despaigne,black
Pedro Beato,black
Rafael Betancourt,hispanic
Rafael Martin,hispanic
Ramon Ramirez,black
Ramon Troncoso,black
Raudel Lazo,black
Robert Coello,hispanic
Silvino Bracho,hispanic
Stolmy Pimentel,black
Taijuan Walker,hispanic
Vance Worley,asian
Wilking Rodriguez,black
Wilmer Font,black
Wilton Lopez,hispanic
A.J. Achter,white
A.J. Cole,white
A.J. Griffin,white
A.J. Schugel,white
AJ Ramos,hispanic
Aaron Brooks,white
Aaron Laffey,white
Aaron Nola,white
Aaron Thompson,white
Abel De Los Santos,black
Adam Conley,white
Adam Liberatore,white
Adam Loewen,white
Adam Morgan,white
Adam Rosales,white
Adam Wilk,white
Adrian Houser,white
Akeel Morris,black
Alberto Cabrera,black
Alberto Gonzalez,hispanic
Alec Asher,white
Alex Cobb,white
Alex Colome,black
Alex Meyer,white
Alex Wilson,white
Alfredo Figaro,black
Allen Webster,white
Andrew Albers,white
Andrew Bailey,white
Andrew Bellatti,white
Andrew Chafin,white
Andrew Faulkner,white
Andrew Heaney,white
Andrew McKirahan,white
Angel Castro,hispanic
Angel Nesbitt,black
Anibal Sanchez,hispanic
Anthony DeSclafani,white
Archie Bradley,white
Ariel Pena,black
Arodys Vizcaino,black
Aroldis Chapman,black
Asher Wojciechowski,white
Austin Adams,white
B.J. Rosenberg,white
Barry Enright,white
Barry Zito,white
Ben Rowen,white
Billy Buckner,white
Blaine Boyer,white
Blaine Hardy,white
Blake Beavan,white
Blake Parker,white
Blake Treinen,white
Blake Wood,white
Bo Schultz,white
Bobby Korecky,white
Bobby LaFromboise,white
Bobby Parnell,white
Brad Brach,white
Brad Lincoln,white
Brad Mills,white
Brad Penny,white
Bradin Hagens,white
Branden Pinder,white
Brandon Beachy,white
Brandon Cumpton,white
Brandon Cunniff,white
Brandon Finnegan,white
Brandon Lyon,white
Brandon Morrow,white
Brandon Workman,white
Brayan Villarreal,hispanic
Brett Anderson,white
Brett Bochy,white
Brett Marshall,white
Brett Myers,white
Brian Ellington,white
Brian Flynn,white
Brian Johnson,white
Brian Omogrosso,white
Brooks Brown,white
Brooks Raley,white
Bruce Billings,white
Bruce Chen,asian
Bruce Rondon,black
Bryan Mitchell,white
Bryan Price,white
Buck Farmer,white
Buddy Boshers,white
Buddy Carlyle,white
Burch Smith,white
C.C. Lee,asian
C.J. Riefenhauser,white
Caleb Cotham,white
Cam Bedrosian,white
Carl Edwards,black
Carlos Frias,hispanic
Carlos Rodon,white
Carson Smith,white
Casey Coleman,white
Casey Janssen,white
Casey Kelly,white
Casey Sadler,white
Casper Wells,white
Cesar Cabral,black
Cesar Jimenez,hispanic
Chad Bettis,white
Chad Billingsley,white
Chad Durbin,white
Chad Gaudin,white
Chad Smith,white
Chance Ruffin,white
Chang-Yong Lim,asian
Charles Brewer,white
Charles Leesman,white
Chase Whitley,white
Chasen Shreve,white
Chaz Roe,white
Chi Chi Gonzalez,white
Chia-Jen Lo,asian
Chien-Ming Wang,asian
Chin-hui Tsao,asian
Chris Bassitt,white
Chris Beck,white
Chris Bootcheck,white
Chris Dwyer,white
Chris Gimenez,white
Chris Hatcher,white
Chris Heston,white
Chris Leroux,white
Chris Narveson,white
Chris Rearick,white
Chris Reed,white
Chris Resop,white
Chris Rusin,white
Chris Sale,white
Chris Volstad,white
Christian Bergman,white
Christian Friedrich,white
Clay Rapada,hispanic
Clayton Mortensen,white
Clayton Richard,white
Clint Robinson,white
Cody Anderson,white
Cody Eppley,white
Cody Hall,white
Cody Martin,white
Cole De Vries,white
Colin Rea,white
Collin Balester,white
Colt Hynes,white
Colton Murray,white
Corey Knebel,white
Cory Burns,white
Cory Gearrin,white
Cory Mazzoni,white
Cristhian Martinez,black
