,umpire_name,umpire_race
0,Jordan Baker,white
1,Lance Barksdale,white
2,Lance Barrett,white
3,Ted Barrett,white
4,Scott Barry,white
5,Wally Bell,white
6,Dan Bellino,white
7,Cory Blaser,white
8,CB Bucknor,black
9,Vic Carapazza,white
10,Mark Carlson,white
11,Gary Cederstrom,white
12,Chris Conroy,white
13,Eric Cooper,white
14,Fieldin Culbreth,white
15,Phil Cuzzi,white
16,Kerwin Danley,black
17,Gary Darling,white
18,Bob Davidson,white
19,Gerry Davis,white
20,Dana DeMuth,white
21,Laz Diaz,black
22,Mike DiMuro,white
23,Rob Drake,white
24,Bruce Dreckman,white
25,Doug Eddings,white
26,Paul Emmel,white
27,Mike Estabrook,white
28,Mike Everitt,white
29,Chad Fairchild,white
30,Andy Fletcher,white
31,Marty Foster,white
32,Greg Gibson,white
33,Tripp Gibson,white
34,Manny Gonzalez,hispanic
35,Brian Gorman,white
36,Chris Guccione,white
37,Tom Hallion,white
38,Angel Hernandez,hispanic
39,Ed Hickox,white
40,John Hirschbeck,white
41,Sam Holbrook,white
42,James Hoye,white
43,Marvin Hudson,white
44,Dan Iassogna,white
45,Adrian Johnson,black
46,Jim Joyce,white
47,Jeff Kellogg,white
48,Brian Knight,white
49,Ron Kulpa,white
50,Jerry Layne,white
51,Will Little,white
52,Alfonso Marquez,hispanic
53,Tim McClelland,white
54,Jerry Meals,white
55,Bill Miller,white
56,Mike Muchlinski,white
57,Paul Nauert,white
58,Jeff Nelson,white
59,Brian ONora,white
60,Alan Porter,black
61,David Rackley,white
62,Tony Randazzo,white
63,D.J. Reyburn,white
64,Jim Reynolds,white
65,Mark Ripperger,white
66,Brian Runge,white
67,Paul Schrieber,white
68,Dale Scott,white
69,Todd Tichenor,white
70,Tim Timmons,white
71,Larry Vanover,white
72,Mark Wegner,white
73,Bill Welke,white
74,Tim Welke,white
75,Hunter Wendelstedt,white
76,Joe West,white
77,Mike Winters,white
78,Quinn Wolcott,white
79,Jim Wolf,white
80,A.J. Johnson,black
81,Adam Hamari,white
82,Angel Campos,hispanic
83,Ben May,white
84,Carlos Torres,hispanic
85,Chad Whitson,white
86,Chris Segal,white
87,Clint Fagan,white
88,Gabe Morales,hispanic
89,Jeff Gosney,white
90,John Tumpane,white
91,Jon Byrne,white
92,Marcus Pattillo,white
93,Pat Hoberg,white
94,Ryan Blakney,white
95,Sean Barber,white
96,Seth Buckminster,white
97,Stu Scheurwater,white
98,Toby Basner,white
99,Tom Woodring,white
